Zone;Élément;Produit;Année;Unité;Valeur
Burkina Faso;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;0
Burkina Faso;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;46
Burkina Faso;Pertes;Viande de Volailles;2017;Milliers de tonnes;2
Burkina Faso;Alimentation pour touristes;Viande de Volailles;2017;Milliers de tonnes;0
Burkina Faso;Résidus;Viande de Volailles;2017;Milliers de tonnes;0
Burkina Faso;Nourriture;Viande de Volailles;2017;Milliers de tonnes;44
Burkina Faso;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;2.27
Burkina Faso;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;8
Burkina Faso;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;0.77
Burkina Faso;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;0.48
Cabo Verde;Production;Viande de Volailles;2017;Milliers de tonnes;1
Cabo Verde;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;12
Cabo Verde;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;4
Cabo Verde;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;10
Cabo Verde;Alimentation pour touristes;Viande de Volailles;2017;Milliers de tonnes;0
Cabo Verde;Résidus;Viande de Volailles;2017;Milliers de tonnes;0
Cabo Verde;Nourriture;Viande de Volailles;2017;Milliers de tonnes;9
